Opportunity_ID,Deal_Name,Account_Name,Sales_Rep,Region,Lead_Source,Stage,Amount_USD,Close_Date,Created_Date,Days_in_Stage,Product_Tier,Competitor_Mentioned,Loss_Reason,Is_Outlier,Sales_Cycle_Duration,Month_Created,Month_Closed,Quarter_Created,Quarter_Closed
OPP-10433,Deal for Elevate Solutions,Elevate Solutions,Diana Miller,North America,Partner,Closed Lost,5664.01,2025-07-01,2025-03-24,90,Enterprise,No,Competitor,False,99,2025-03,2025-07,2025Q1,2025Q3
OPP-10806,Deal for Velocity Systems,Velocity Systems,Alice Johnson,APAC,Website,Closed Lost,5038.34,2025-07-01,2025-03-06,117,Enterprise,Yes,Budget,False,117,2025-03,2025-07,2025Q1,2025Q3
OPP-10983,Deal for GlobalTech,GlobalTech,Eve Davis,North America,Website,Closed Lost,645.05,2025-05-16,2025-01-22,114,Basic,No,Budget,False,114,2025-01,2025-05,2025Q1,2025Q2
OPP-10109,Deal for Zenith Global,Zenith Global,Bob Williams,EMEA,Cold Call,Closed Lost,7665.34,2025-04-21,2025-01-31,74,Pro,Yes,Internal Prioritization,False,80,2025-01,2025-04,2025Q1,2025Q2
OPP-10940,Deal for OmniCorp,OmniCorp,Diana Miller,APAC,Event,Closed Lost,2351.94,2025-04-22,2024-12-19,115,Basic,Yes,Timing,False,124,2024-12,2025-04,2024Q4,2025Q2
OPP-10077,Deal for Nexus Enterprises,Nexus Enterprises,Diana Miller,North America,Cold Call,Closed Lost,7222.81,2024-09-26,2024-07-02,86,Enterprise,Yes,Timing,False,86,2024-07,2024-09,2024Q3,2024Q3
OPP-10084,Deal for Prime Ventures,Prime Ventures,Diana Miller,EMEA,Partner,Closed Lost,518.92,2024-10-10,2024-08-11,52,Basic,Yes,Competitor,False,60,2024-08,2024-10,2024Q3,2024Q4
OPP-10588,Deal for BrightSpark,BrightSpark,Bob Williams,EMEA,Social Media,Closed Lost,4369.73,2025-04-11,2025-02-25,30,Pro,No,No Need,False,45,2025-02,2025-04,2025Q1,2025Q2
OPP-10082,Deal for Horizon Digital,Horizon Digital,Eve Davis,North America,Social Media,Closed Lost,5911.25,2025-05-06,2024-12-08,130,Enterprise,Yes,Price,False,149,2024-12,2025-05,2024Q4,2025Q2
OPP-10254,Deal for Zenith Global,Zenith Global,Diana Miller,North America,Partner,Closed Lost,4531.64,2024-12-13,2024-10-22,32,Basic,Yes,No Need,False,52,2024-10,2024-12,2024Q4,2024Q4
OPP-10922,Deal for Zenith Global,Zenith Global,Eve Davis,EMEA,Event,Closed Lost,1222.29,2025-05-23,2025-01-09,127,Basic,Yes,Timing,False,134,2025-01,2025-05,2025Q1,2025Q2
OPP-10408,Deal for InnovateCo,InnovateCo,Diana Miller,APAC,Referral,Closed Lost,14217.47,2025-02-26,2024-11-22,82,Enterprise,Yes,No Need,False,96,2024-11,2025-02,2024Q4,2025Q1
OPP-10653,Deal for Astra Dynamics,Astra Dynamics,Alice Johnson,APAC,Event,Closed Lost,4474.81,2025-07-30,2025-05-17,74,Enterprise,No,Budget,False,74,2025-05,2025-07,2025Q2,2025Q3
OPP-10521,Deal for Velocity Systems,Velocity Systems,Charlie Brown,EMEA,Event,Closed Lost,3131.46,2024-11-03,2024-09-22,29,Basic,No,No Need,False,42,2024-09,2024-11,2024Q3,2024Q4
OPP-10918,Deal for Elevate Solutions,Elevate Solutions,Charlie Brown,North America,Event,Closed Won,5043.4,2025-02-22,2024-09-23,140,Pro,Yes,NaN,False,152,2024-09,2025-02,2024Q3,2025Q1
OPP-10436,Deal for SynergyCorp,SynergyCorp,Bob Williams,EMEA,Partner,Closed Lost,1850.52,2025-04-29,2025-03-12,48,Pro,No,Competitor,False,48,2025-03,2025-04,2025Q1,2025Q2
OPP-10005,Deal for Fusion Innovations,Fusion Innovations,Diana Miller,North America,Cold Call,Closed Won,3912.51,2025-10-22,2025-04-26,161,Basic,Yes,NaN,False,179,2025-04,2025-10,2025Q2,2025Q4
OPP-10404,Deal for Astra Dynamics,Astra Dynamics,Alice Johnson,EMEA,Website,Closed Lost,4711.85,2025-07-01,2025-05-13,49,Pro,Yes,Price,False,49,2025-05,2025-07,2025Q2,2025Q3
OPP-10467,Deal for Prime Ventures,Prime Ventures,Bob Williams,EMEA,Event,Closed Won,12406.68,2025-06-04,2024-07-05,92,Enterprise,Yes,NaN,False,334,2024-07,2025-06,2024Q3,2025Q2
OPP-10097,Deal for Zenith Global,Zenith Global,Alice Johnson,APAC,Partner,Closed Won,7638.96,2024-11-29,2024-07-12,121,Pro,Yes,NaN,False,140,2024-07,2024-11,2024Q3,2024Q4
OPP-10559,Deal for Veridian Corp,Veridian Corp,Charlie Brown,EMEA,Referral,Closed Lost,2522.3,2024-08-30,2024-06-17,74,Basic,No,Internal Prioritization,False,74,2024-06,2024-08,2024Q2,2024Q3
OPP-10359,Deal for Elevate Solutions,Elevate Solutions,Alice Johnson,APAC,Event,Closed Lost,2011.03,2025-07-28,2025-05-13,76,Basic,No,No Need,False,76,2025-05,2025-07,2025Q2,2025Q3
OPP-10872,Deal for InnovateCo,InnovateCo,Bob Williams,North America,Social Media,Closed Lost,11919.61,2025-01-01,2024-09-20,103,Enterprise,Yes,Internal Prioritization,False,103,2024-09,2025-01,2024Q3,2025Q1
OPP-10266,Deal for Catalyst Group,Catalyst Group,Eve Davis,APAC,Referral,Closed Lost,6596.89,2025-06-26,2024-07-19,49,Pro,No,Budget,False,342,2024-07,2025-06,2024Q3,2025Q2
OPP-10677,Deal for InnovateCo,InnovateCo,Bob Williams,EMEA,Cold Call,Closed Lost,1668.02,2025-04-20,2024-12-30,92,Pro,No,Timing,False,111,2024-12,2025-04,2024Q4,2025Q2
OPP-10382,Deal for Prime Ventures,Prime Ventures,Charlie Brown,EMEA,Partner,Closed Lost,3448.79,2024-12-04,2024-09-14,67,Enterprise,No,Internal Prioritization,False,81,2024-09,2024-12,2024Q3,2024Q4
OPP-10693,Deal for Quantum Labs,Quantum Labs,Diana Miller,EMEA,Website,Closed Lost,6115.49,2025-05-18,2025-03-25,35,Enterprise,Yes,Timing,False,54,2025-03,2025-05,2025Q1,2025Q2
OPP-10411,Deal for Apex Solutions,Apex Solutions,Alice Johnson,APAC,Partner,Closed Lost,3958.5,2024-10-14,2024-09-03,24,Pro,Yes,Features,False,41,2024-09,2024-10,2024Q3,2024Q4
OPP-10885,Deal for Velocity Systems,Velocity Systems,Alice Johnson,APAC,Cold Call,Closed Lost,3753.86,2025-05-14,2025-03-20,55,Basic,Yes,Internal Prioritization,False,55,2025-03,2025-05,2025Q1,2025Q2
OPP-10118,Deal for Elevate Solutions,Elevate Solutions,Charlie Brown,EMEA,Social Media,Closed Lost,9803.95,2024-09-03,2024-06-12,77,Enterprise,No,Timing,False,83,2024-06,2024-09,2024Q2,2024Q3
OPP-10430,Deal for Horizon Digital,Horizon Digital,Eve Davis,APAC,Event,Closed Lost,2554.2,2024-12-03,2024-08-10,115,Pro,No,Timing,False,115,2024-08,2024-12,2024Q3,2024Q4
OPP-10250,Deal for Evergreen Tech,Evergreen Tech,Alice Johnson,APAC,Referral,Closed Lost,4841.43,2025-01-22,2024-11-23,40,Pro,No,Budget,False,60,2024-11,2025-01,2024Q4,2025Q1
OPP-10342,Deal for Catalyst Group,Catalyst Group,Bob Williams,EMEA,Website,Closed Lost,4387.43,2025-09-07,2025-04-17,128,Basic,Yes,Internal Prioritization,False,143,2025-04,2025-09,2025Q2,2025Q3
OPP-10009,Deal for Fusion Innovations,Fusion Innovations,Charlie Brown,EMEA,Partner,Closed Won,2667.67,2025-08-11,2025-05-10,80,Pro,Yes,NaN,False,93,2025-05,2025-08,2025Q2,2025Q3
OPP-10196,Deal for Horizon Digital,Horizon Digital,Charlie Brown,APAC,Cold Call,Closed Lost,1800.73,2025-05-11,2025-01-30,101,Basic,Yes,Internal Prioritization,False,101,2025-01,2025-05,2025Q1,2025Q2
OPP-10879,Deal for GlobalTech,GlobalTech,Bob Williams,EMEA,Cold Call,Closed Lost,3958.63,2024-11-30,2024-07-25,113,Basic,Yes,Timing,False,128,2024-07,2024-11,2024Q3,2024Q4
OPP-10081,Deal for Quantum Labs,Quantum Labs,Charlie Brown,EMEA,Referral,Closed Lost,4705.12,2025-02-10,2024-10-01,122,Pro,No,Timing,False,132,2024-10,2025-02,2024Q4,2025Q1
OPP-10911,Deal for Zenith Global,Zenith Global,Diana Miller,EMEA,Partner,Closed Lost,2403.83,2025-04-09,2024-12-02,120,Basic,Yes,Features,False,128,2024-12,2025-04,2024Q4,2025Q2
OPP-10478,Deal for BrightSpark,BrightSpark,Diana Miller,North America,Event,Closed Lost,2019.31,2025-06-09,2025-04-09,41,Basic,No,Price,False,61,2025-04,2025-06,2025Q2,2025Q2
OPP-10696,Deal for Nexus Enterprises,Nexus Enterprises,Bob Williams,North America,Referral,Closed Lost,2559.45,2024-10-21,2024-09-02,38,Basic,No,Competitor,False,49,2024-09,2024-10,2024Q3,2024Q4
OPP-10239,Deal for Astra Dynamics,Astra Dynamics,Diana Miller,APAC,Referral,Closed Lost,15105.37,2024-10-10,2024-07-18,78,Enterprise,Yes,Features,False,84,2024-07,2024-10,2024Q3,2024Q4
OPP-10292,Deal for Prime Ventures,Prime Ventures,Bob Williams,North America,Referral,Closed Lost,8245.72,2024-12-01,2024-09-12,63,Pro,No,Timing,False,80,2024-09,2024-12,2024Q3,2024Q4
OPP-10211,Deal for GlobalTech,GlobalTech,Diana Miller,EMEA,Website,Closed Lost,1856.33,2025-05-23,2025-02-11,87,Pro,Yes,Features,False,101,2025-02,2025-05,2025Q1,2025Q2
OPP-10721,Deal for Quantum Labs,Quantum Labs,Bob Williams,EMEA,Referral,Closed Lost,3839.08,2025-07-03,2025-02-27,126,Basic,Yes,Budget,False,126,2025-02,2025-07,2025Q1,2025Q3
OPP-10361,Deal for BrightSpark,BrightSpark,Bob Williams,APAC,Partner,Closed Lost,1420.45,2025-02-06,2024-12-30,38,Basic,Yes,Timing,False,38,2024-12,2025-02,2024Q4,2025Q1
OPP-10451,Deal for InnovateCo,InnovateCo,Bob Williams,EMEA,Event,Closed Lost,566.34,2024-10-10,2024-07-29,60,Basic,No,Internal Prioritization,False,73,2024-07,2024-10,2024Q3,2024Q4
OPP-10227,Deal for Astra Dynamics,Astra Dynamics,Eve Davis,North America,Cold Call,Closed Lost,4848.92,2025-03-13,2024-11-02,122,Pro,No,Internal Prioritization,False,131,2024-11,2025-03,2024Q4,2025Q1
OPP-10362,Deal for BrightSpark,BrightSpark,Diana Miller,North America,Partner,Closed Lost,3164.59,2024-12-25,2024-10-18,54,Pro,Yes,No Need,False,68,2024-10,2024-12,2024Q4,2024Q4
OPP-10800,Deal for Horizon Digital,Horizon Digital,Alice Johnson,EMEA,Referral,Closed Lost,793.29,2025-07-19,2025-05-16,64,Basic,Yes,Competitor,False,64,2025-05,2025-07,2025Q2,2025Q3
OPP-10657,Deal for InnovateCo,InnovateCo,Charlie Brown,APAC,Referral,Closed Lost,9963.27,2025-07-10,2025-05-11,42,Enterprise,No,Competitor,False,60,2025-05,2025-07,2025Q2,2025Q3
OPP-10707,Deal for Prime Ventures,Prime Ventures,Charlie Brown,North America,Event,Closed Lost,8360.5,2024-11-29,2024-09-12,70,Pro,Yes,Price,False,78,2024-09,2024-11,2024Q3,2024Q4
OPP-10644,Deal for Catalyst Group,Catalyst Group,Charlie Brown,APAC,Cold Call,Closed Lost,1997.35,2025-03-02,2024-12-28,64,Basic,Yes,Budget,False,64,2024-12,2025-03,2024Q4,2025Q1
OPP-10581,Deal for Catalyst Group,Catalyst Group,Alice Johnson,APAC,Website,Closed Lost,12825.72,2025-04-21,2025-01-08,103,Enterprise,Yes,Competitor,False,103,2025-01,2025-04,2025Q1,2025Q2
OPP-10936,Deal for Fusion Innovations,Fusion Innovations,Bob Williams,APAC,Event,Closed Lost,5381.64,2024-12-23,2024-08-31,107,Pro,No,No Need,False,114,2024-08,2024-12,2024Q3,2024Q4
OPP-10370,Deal for GlobalTech,GlobalTech,Alice Johnson,APAC,Referral,Closed Lost,12611.54,2025-08-09,2025-03-24,127,Enterprise,Yes,Budget,False,138,2025-03,2025-08,2025Q1,2025Q3
OPP-10007,Deal for Nexus Enterprises,Nexus Enterprises,Bob Williams,EMEA,Referral,Closed Lost,9542.06,2025-01-30,2024-09-10,142,Enterprise,Yes,Internal Prioritization,False,142,2024-09,2025-01,2024Q3,2025Q1
OPP-10155,Deal for Zenith Global,Zenith Global,Alice Johnson,APAC,Social Media,Closed Lost,8951.8,2024-11-25,2024-08-11,94,Pro,No,Budget,False,106,2024-08,2024-11,2024Q3,2024Q4
OPP-10543,Deal for Apex Solutions,Apex Solutions,Alice Johnson,North America,Cold Call,Closed Lost,1715.0,2024-10-03,2024-07-26,64,Enterprise,No,Features,False,69,2024-07,2024-10,2024Q3,2024Q4
OPP-10442,Deal for Elevate Solutions,Elevate Solutions,Alice Johnson,EMEA,Partner,Closed Lost,3335.8,2025-04-06,2024-12-20,107,Enterprise,No,Timing,False,107,2024-12,2025-04,2024Q4,2025Q2
OPP-10820,Deal for Evergreen Tech,Evergreen Tech,Alice Johnson,EMEA,Cold Call,Closed Lost,5816.35,2024-11-12,2024-08-14,76,Pro,No,Timing,False,90,2024-08,2024-11,2024Q3,2024Q4
OPP-10398,Deal for BrightSpark,BrightSpark,Alice Johnson,EMEA,Cold Call,Closed Lost,4344.0,2024-12-10,2024-08-14,109,Basic,No,No Need,False,118,2024-08,2024-12,2024Q3,2024Q4
OPP-10959,Deal for SynergyCorp,SynergyCorp,Eve Davis,North America,Referral,Closed Lost,4575.56,2025-07-13,2025-03-13,105,Basic,Yes,Internal Prioritization,False,122,2025-03,2025-07,2025Q1,2025Q3
OPP-10568,Deal for Zenith Global,Zenith Global,Charlie Brown,North America,Referral,Closed Lost,1691.6,2024-09-17,2024-06-16,74,Basic,Yes,No Need,False,93,2024-06,2024-09,2024Q2,2024Q3
OPP-10591,Deal for Velocity Systems,Velocity Systems,Bob Williams,APAC,Referral,Closed Lost,2940.27,2025-01-31,2024-10-17,93,Pro,Yes,Competitor,False,106,2024-10,2025-01,2024Q4,2025Q1
OPP-10580,Deal for Quantum Labs,Quantum Labs,Bob Williams,EMEA,Website,Closed Won,3531.34,2025-05-07,2025-01-22,87,Pro,No,NaN,False,105,2025-01,2025-05,2025Q1,2025Q2
OPP-10938,Deal for Nexus Enterprises,Nexus Enterprises,Bob Williams,APAC,Social Media,Closed Lost,665.75,2025-05-12,2024-12-22,141,Basic,No,Competitor,False,141,2024-12,2025-05,2024Q4,2025Q2
OPP-10695,Deal for Elite Dynamics,Elite Dynamics,Alice Johnson,North America,Event,Closed Lost,4537.42,2025-02-23,2025-01-12,24,Basic,No,Internal Prioritization,False,42,2025-01,2025-02,2025Q1,2025Q1
OPP-10866,Deal for Elevate Solutions,Elevate Solutions,Diana Miller,North America,Referral,Closed Lost,3134.32,2025-03-11,2024-11-09,122,Basic,Yes,Internal Prioritization,False,122,2024-11,2025-03,2024Q4,2025Q1
OPP-10532,Deal for Astra Dynamics,Astra Dynamics,Eve Davis,North America,Event,Closed Lost,1603.04,2024-07-20,2024-06-07,38,Pro,Yes,Timing,False,43,2024-06,2024-07,2024Q2,2024Q3
OPP-10585,Deal for Elite Dynamics,Elite Dynamics,Diana Miller,EMEA,Social Media,Closed Lost,6283.47,2025-04-12,2024-11-19,130,Pro,No,Timing,False,144,2024-11,2025-04,2024Q4,2025Q2
OPP-10711,Deal for InnovateCo,InnovateCo,Bob Williams,North America,Social Media,Closed Lost,1738.19,2025-07-04,2025-02-21,124,Pro,Yes,Budget,False,133,2025-02,2025-07,2025Q1,2025Q3
OPP-10450,Deal for Catalyst Group,Catalyst Group,Diana Miller,APAC,Social Media,Closed Won,6332.07,2025-07-21,2025-05-21,44,Pro,No,NaN,False,61,2025-05,2025-07,2025Q2,2025Q3
OPP-10855,Deal for Horizon Digital,Horizon Digital,Charlie Brown,APAC,Cold Call,Closed Lost,2152.26,2025-10-17,2025-05-31,124,Pro,Yes,Budget,False,139,2025-05,2025-10,2025Q2,2025Q4
OPP-10228,Deal for Horizon Digital,Horizon Digital,Charlie Brown,North America,Partner,Closed Won,2537.3,2025-01-12,2024-10-31,62,Enterprise,Yes,NaN,False,73,2024-10,2025-01,2024Q4,2025Q1
OPP-10590,Deal for Astra Dynamics,Astra Dynamics,Diana Miller,North America,Referral,Closed Lost,1363.88,2024-09-10,2024-06-08,80,Pro,Yes,Budget,False,94,2024-06,2024-09,2024Q2,2024Q3
OPP-10732,Deal for Fusion Innovations,Fusion Innovations,Diana Miller,EMEA,Cold Call,Closed Lost,9224.68,2025-02-10,2024-10-14,105,Pro,No,Budget,False,119,2024-10,2025-02,2024Q4,2025Q1
OPP-10079,Deal for Elevate Solutions,Elevate Solutions,Eve Davis,North America,Social Media,Closed Lost,6752.67,2025-08-10,2025-05-10,77,Enterprise,No,Features,False,92,2025-05,2025-08,2025Q2,2025Q3
OPP-10148,Deal for Evergreen Tech,Evergreen Tech,Charlie Brown,APAC,Partner,Closed Lost,3200.94,2025-09-29,2025-05-19,133,Enterprise,No,Price,False,133,2025-05,2025-09,2025Q2,2025Q3
OPP-10302,Deal for Horizon Digital,Horizon Digital,Diana Miller,APAC,Social Media,Closed Lost,8275.96,2024-10-16,2024-07-15,84,Enterprise,No,Timing,False,93,2024-07,2024-10,2024Q3,2024Q4
OPP-10915,Deal for Velocity Systems,Velocity Systems,Alice Johnson,EMEA,Cold Call,Closed Lost,15334.51,2025-07-07,2025-03-25,104,Enterprise,Yes,Internal Prioritization,False,104,2025-03,2025-07,2025Q1,2025Q3
OPP-10328,Deal for Elite Dynamics,Elite Dynamics,Alice Johnson,North America,Partner,Closed Lost,14015.33,2025-07-02,2025-02-27,106,Enterprise,No,Features,False,125,2025-02,2025-07,2025Q1,2025Q3
OPP-10927,Deal for Veridian Corp,Veridian Corp,Diana Miller,North America,Referral,Closed Lost,890.55,2025-02-03,2024-11-24,61,Basic,No,Price,False,71,2024-11,2025-02,2024Q4,2025Q1
OPP-10344,Deal for Zenith Global,Zenith Global,Bob Williams,North America,Event,Closed Lost,2176.28,2025-03-08,2024-12-10,88,Enterprise,No,Features,False,88,2024-12,2025-03,2024Q4,2025Q1
OPP-10545,Deal for Fusion Innovations,Fusion Innovations,Alice Johnson,EMEA,Event,Closed Lost,9190.32,2024-12-23,2024-08-06,119,Enterprise,Yes,Price,False,139,2024-08,2024-12,2024Q3,2024Q4
OPP-10506,Deal for Pioneer Systems,Pioneer Systems,Bob Williams,APAC,Cold Call,Closed Lost,6172.57,2025-08-28,2025-04-21,113,Enterprise,Yes,Competitor,False,129,2025-04,2025-08,2025Q2,2025Q3
OPP-10133,Deal for GlobalTech,GlobalTech,Eve Davis,APAC,Event,Closed Lost,7467.82,2025-06-12,2025-04-06,60,Pro,Yes,Internal Prioritization,False,67,2025-04,2025-06,2025Q2,2025Q2
OPP-10552,Deal for Elite Dynamics,Elite Dynamics,Charlie Brown,APAC,Event,Closed Lost,996.04,2025-01-19,2024-11-10,61,Basic,No,Timing,False,70,2024-11,2025-01,2024Q4,2025Q1
OPP-10311,Deal for Fusion Innovations,Fusion Innovations,Eve Davis,APAC,Social Media,Closed Lost,9083.5,2025-09-19,2025-05-27,115,Enterprise,No,Internal Prioritization,False,115,2025-05,2025-09,2025Q2,2025Q3
OPP-10998,Deal for Elevate Solutions,Elevate Solutions,Eve Davis,EMEA,Social Media,Closed Lost,5722.16,2024-11-11,2024-10-06,21,Enterprise,No,Price,False,36,2024-10,2024-11,2024Q4,2024Q4
OPP-10567,Deal for Horizon Digital,Horizon Digital,Alice Johnson,EMEA,Cold Call,Closed Lost,2659.99,2024-10-22,2024-06-17,122,Pro,Yes,Features,False,127,2024-06,2024-10,2024Q2,2024Q4
OPP-10000,Deal for Horizon Digital,Horizon Digital,Charlie Brown,North America,Referral,Closed Lost,4101.28,2024-08-02,2024-06-13,45,Basic,Yes,Budget,False,50,2024-06,2024-08,2024Q2,2024Q3
OPP-10316,Deal for GlobalTech,GlobalTech,Bob Williams,EMEA,Event,Closed Lost,3723.03,2025-05-08,2025-01-14,109,Basic,Yes,Features,False,114,2025-01,2025-05,2025Q1,2025Q2
OPP-10710,Deal for GlobalTech,GlobalTech,Charlie Brown,North America,Social Media,Closed Lost,3581.55,2025-09-21,2025-04-30,144,Basic,No,Competitor,False,144,2025-04,2025-09,2025Q2,2025Q3
OPP-10549,Deal for Astra Dynamics,Astra Dynamics,Bob Williams,North America,Partner,Closed Lost,3906.7,2025-06-09,2025-01-13,147,Pro,Yes,Budget,False,147,2025-01,2025-06,2025Q1,2025Q2
OPP-10617,Deal for Pioneer Systems,Pioneer Systems,Diana Miller,North America,Partner,Closed Lost,3077.56,2025-06-14,2025-03-20,73,Pro,No,No Need,False,86,2025-03,2025-06,2025Q1,2025Q2
OPP-10534,Deal for Zenith Global,Zenith Global,Alice Johnson,EMEA,Referral,Closed Won,1132.46,2025-04-30,2024-12-14,119,Basic,Yes,NaN,False,137,2024-12,2025-04,2024Q4,2025Q2
OPP-10479,Deal for Fusion Innovations,Fusion Innovations,Diana Miller,EMEA,Social Media,Closed Lost,5710.96,2025-02-25,2024-12-25,51,Pro,No,Internal Prioritization,False,62,2024-12,2025-02,2024Q4,2025Q1
OPP-10777,Deal for Zenith Global,Zenith Global,Diana Miller,North America,Partner,Closed Lost,1135.19,2024-10-13,2024-07-02,103,Basic,Yes,Features,False,103,2024-07,2024-10,2024Q3,2024Q4
OPP-10172,Deal for Nexus Enterprises,Nexus Enterprises,Diana Miller,APAC,Cold Call,Closed Lost,4203.88,2024-10-17,2024-06-10,124,Pro,No,Competitor,False,129,2024-06,2024-10,2024Q2,2024Q4
OPP-10125,Deal for Pioneer Systems,Pioneer Systems,Diana Miller,EMEA,Website,Closed Lost,10934.79,2025-04-17,2025-02-18,52,Enterprise,No,Budget,False,58,2025-02,2025-04,2025Q1,2025Q2
OPP-10424,Deal for Elite Dynamics,Elite Dynamics,Diana Miller,North America,Cold Call,Closed Lost,2790.03,2025-06-18,2025-04-29,35,Basic,Yes,Price,False,50,2025-04,2025-06,2025Q2,2025Q2
OPP-10422,Deal for Apex Solutions,Apex Solutions,Diana Miller,North America,Social Media,Closed Lost,11263.55,2024-09-23,2024-07-02,83,Enterprise,Yes,No Need,False,83,2024-07,2024-09,2024Q3,2024Q3
OPP-10554,Deal for Apex Solutions,Apex Solutions,Diana Miller,EMEA,Event,Closed Won,14167.91,2025-05-09,2024-11-26,155,Enterprise,Yes,NaN,False,164,2024-11,2025-05,2024Q4,2025Q2
OPP-10907,Deal for BrightSpark,BrightSpark,Eve Davis,APAC,Referral,Closed Lost,6087.5,2024-09-21,2024-06-02,103,Pro,No,Internal Prioritization,False,111,2024-06,2024-09,2024Q2,2024Q3
OPP-10090,Deal for BrightSpark,BrightSpark,Alice Johnson,North America,Social Media,Closed Lost,7176.07,2025-06-11,2025-04-24,48,Enterprise,No,Internal Prioritization,False,48,2025-04,2025-06,2025Q2,2025Q2
OPP-10943,Deal for Astra Dynamics,Astra Dynamics,Charlie Brown,EMEA,Referral,Closed Lost,1972.41,2025-06-23,2025-05-15,39,Basic,Yes,Internal Prioritization,False,39,2025-05,2025-06,2025Q2,2025Q2
OPP-10181,Deal for Evergreen Tech,Evergreen Tech,Alice Johnson,EMEA,Partner,Closed Lost,10708.34,2025-06-01,2025-03-08,85,Enterprise,No,Features,False,85,2025-03,2025-06,2025Q1,2025Q2
OPP-10274,Deal for BrightSpark,BrightSpark,Bob Williams,North America,Partner,Closed Lost,7011.59,2024-12-16,2024-07-24,145,Pro,No,Competitor,False,145,2024-07,2024-12,2024Q3,2024Q4
OPP-10899,Deal for GlobalTech,GlobalTech,Diana Miller,APAC,Social Media,Closed Won,6026.27,2025-10-29,2025-05-23,152,Pro,Yes,NaN,False,159,2025-05,2025-10,2025Q2,2025Q4
OPP-10069,Deal for Prime Ventures,Prime Ventures,Bob Williams,APAC,Social Media,Closed Lost,3417.95,2024-08-24,2024-07-06,42,Basic,Yes,Features,False,49,2024-07,2024-08,2024Q3,2024Q3
OPP-10291,Deal for InnovateCo,InnovateCo,Diana Miller,North America,Partner,Closed Lost,10552.02,2024-08-11,2024-07-11,13,Enterprise,No,Competitor,False,31,2024-07,2024-08,2024Q3,2024Q3
OPP-10131,Deal for Elite Dynamics,Elite Dynamics,Eve Davis,North America,Referral,Closed Lost,2011.74,2025-06-07,2024-07-19,102,Basic,No,Budget,False,323,2024-07,2025-06,2024Q3,2025Q2
OPP-10300,Deal for BrightSpark,BrightSpark,Bob Williams,APAC,Cold Call,Closed Lost,15995.58,2024-10-11,2024-08-31,41,Enterprise,Yes,Internal Prioritization,True,41,2024-08,2024-10,2024Q3,2024Q4
OPP-10583,Deal for Catalyst Group,Catalyst Group,Bob Williams,North America,Cold Call,Closed Lost,3497.97,2025-03-26,2024-11-04,132,Enterprise,Yes,Price,False,142,2024-11,2025-03,2024Q4,2025Q1
OPP-10326,Deal for Zenith Global,Zenith Global,Alice Johnson,APAC,Referral,Closed Lost,9856.9,2024-07-26,2024-06-08,33,Enterprise,Yes,Timing,False,48,2024-06,2024-07,2024Q2,2024Q3
OPP-10144,Deal for Quantum Labs,Quantum Labs,Bob Williams,EMEA,Social Media,Closed Lost,2037.02,2024-10-30,2024-07-30,82,Basic,No,Competitor,False,92,2024-07,2024-10,2024Q3,2024Q4
OPP-10425,Deal for Quantum Labs,Quantum Labs,Diana Miller,APAC,Website,Closed Lost,11625.43,2025-02-07,2024-11-03,87,Enterprise,Yes,Budget,False,96,2024-11,2025-02,2024Q4,2025Q1
OPP-10584,Deal for InnovateCo,InnovateCo,Diana Miller,APAC,Website,Closed Lost,4297.42,2025-01-18,2024-11-28,39,Pro,Yes,Internal Prioritization,False,51,2024-11,2025-01,2024Q4,2025Q1
OPP-10135,Deal for GlobalTech,GlobalTech,Bob Williams,APAC,Partner,Closed Won,1146.04,2025-06-13,2025-03-14,67,Basic,No,NaN,False,91,2025-03,2025-06,2025Q1,2025Q2
OPP-10666,Deal for Astra Dynamics,Astra Dynamics,Charlie Brown,North America,Website,Closed Lost,8077.77,2024-10-13,2024-08-06,57,Pro,Yes,Competitor,False,68,2024-08,2024-10,2024Q3,2024Q4
OPP-10164,Deal for Astra Dynamics,Astra Dynamics,Alice Johnson,EMEA,Website,Closed Lost,3621.88,2024-09-16,2024-08-17,30,Basic,No,Internal Prioritization,False,30,2024-08,2024-09,2024Q3,2024Q3
OPP-10028,Deal for Nexus Enterprises,Nexus Enterprises,Bob Williams,EMEA,Referral,Closed Lost,5132.01,2025-08-20,2025-04-05,137,Pro,No,No Need,False,137,2025-04,2025-08,2025Q2,2025Q3
OPP-10934,Deal for Astra Dynamics,Astra Dynamics,Eve Davis,APAC,Partner,Closed Lost,4906.31,2024-10-06,2024-06-21,92,Enterprise,No,Budget,False,107,2024-06,2024-10,2024Q2,2024Q4
OPP-10193,Deal for Pioneer Systems,Pioneer Systems,Charlie Brown,EMEA,Cold Call,Closed Lost,1875.0,2025-03-26,2024-12-10,90,Basic,No,Timing,False,106,2024-12,2025-03,2024Q4,2025Q1
OPP-10994,Deal for Pioneer Systems,Pioneer Systems,Eve Davis,North America,Event,Closed Lost,8676.61,2025-06-13,2025-03-12,93,Pro,Yes,Features,False,93,2025-03,2025-06,2025Q1,2025Q2
OPP-10749,Deal for Velocity Systems,Velocity Systems,Alice Johnson,APAC,Website,Closed Lost,1947.89,2024-12-01,2024-10-26,30,Basic,Yes,Competitor,False,36,2024-10,2024-12,2024Q4,2024Q4
